committee	committee_name	industry	industry_name	sector	donations
HAPP	Appropriations (H)	W03	Civil Servants/Public Officials	Other	242508
HAPP	Appropriations (H)	W02	Non-Profit Institutions	Other	266116
HAPP	Appropriations (H)	W05	Clergy & Religious Organizations	Other	24209
HAPP	Appropriations (H)	Q16	Candidate Committees	Ideological/Single-Issue	549096
HAPP	Appropriations (H)	Q12	Gun Control	Ideological/Single-Issue	1382
HAPP	Appropriations (H)	N16	Textiles	Misc Business	82250
HARM	Armed Services (H)	A01	Crop Production & Basic Processing	Agribusiness	1477796
HARM	Armed Services (H)	A02	Tobacco	Agribusiness	127582
HARM	Armed Services (H)	A04	Dairy	Agribusiness	261446
HARM	Armed Services (H)	A05	Poultry & Eggs	Agribusiness	129775
HARM	Armed Services (H)	A06	Livestock	Agribusiness	483344
HARM	Armed Services (H)	A07	Agricultural Services/Products	Agribusiness	923547
HARM	Armed Services (H)	A10	Forestry & Forest Products	Agribusiness	371616
HARM	Armed Services (H)	C01	General Contractors	Construction	1219441
HARM	Armed Services (H)	C02	Home Builders	Construction	373161
HARM	Armed Services (H)	C03	Special Trade Contractors	Construction	424197
HARM	Armed Services (H)	C04	Construction Services	Construction	997789
HARM	Armed Services (H)	C05	Building Materials & Equipment	Construction	809532
HARM	Armed Services (H)	B01	Printing & Publishing	Communications/Electronics	331996
HARM	Armed Services (H)	B02	TV/Movies/Music	Communications/Electronics	697402
HARM	Armed Services (H)	B09	Telecom Services	Communications/Electronics	763042
HARM	Armed Services (H)	B08	Telephone Utilities	Communications/Electronics	546305
HARM	Armed Services (H)	B12	Electronics Mfg & Equip	Communications/Electronics	921520
HARM	Armed Services (H)	B13	Internet	Communications/Electronics	369108
HARM	Armed Services (H)	D03	Misc Defense	Defense	1467304
HARM	Armed Services (H)	D01	Defense Aerospace	Defense	2717257
HARM	Armed Services (H)	D02	Defense Electronics	Defense	1889012
HARM	Armed Services (H)	E01	Oil & Gas	Energy & Natural Resources	2224459
HARM	Armed Services (H)	E04	Mining	Energy & Natural Resources	306800
HARM	Armed Services (H)	E08	Electric Utilities	Energy & Natural Resources	1245879
HARM	Armed Services (H)	E10	Waste Management	Energy & Natural Resources	65953
HARM	Armed Services (H)	F13	Misc Finance	Finance, Insurance & Real Estate	1273274
HARM	Armed Services (H)	F03	Commercial Banks	Finance, Insurance & Real Estate	1208795
HARM	Armed Services (H)	F04	Savings & Loans	Finance, Insurance & Real Estate	29540
HARM	Armed Services (H)	F05	Credit Unions	Finance, Insurance & Real Estate	288096
HARM	Armed Services (H)	F06	Finance/Credit Companies	Finance, Insurance & Real Estate	297845
HARM	Armed Services (H)	F07	Securities & Investment	Finance, Insurance & Real Estate	3784912
HARM	Armed Services (H)	F09	Insurance	Finance, Insurance & Real Estate	2384536
HARM	Armed Services (H)	F10	Real Estate	Finance, Insurance & Real Estate	4258163
HARM	Armed Services (H)	F11	Accountants	Finance, Insurance & Real Estate	911078
HARM	Armed Services (H)	N00	Business Associations	Misc Business	174580
HARM	Armed Services (H)	A09	Food Processing & Sales	Agribusiness	640167
HARM	Armed Services (H)	N01	Food & Beverage	Misc Business	848170
HARM	Armed Services (H)	N02	Beer, Wine & Liquor	Misc Business	827556
HARM	Armed Services (H)	N03	Retail Sales	Misc Business	1044305
HARM	Armed Services (H)	N04	Misc Services	Misc Business	245793
HARM	Armed Services (H)	N05	Business Services	Misc Business	1221305
HARM	Armed Services (H)	N06	Recreation/Live Entertainment	Misc Business	287954
HARM	Armed Services (H)	N07	Casinos/Gambling	Misc Business	963111
HARM	Armed Services (H)	H01	Health Professionals	Health	3471538
HARM	Armed Services (H)	H02	Hospitals/Nursing Homes	Health	946431
HARM	Armed Services (H)	H03	Health Services/HMOs	Health	717868
HARM	Armed Services (H)	H04	Pharmaceuticals/Health Products	Health	1214276
HARM	Armed Services (H)	W04	Education	Other	1231823
HARM	Armed Services (H)	Q01	Republican/Conservative	Ideological/Single-Issue	2677107
HARM	Armed Services (H)	Q02	Democratic/Liberal	Ideological/Single-Issue	1609391
HARM	Armed Services (H)	Q03	Leadership PACs	Ideological/Single-Issue	4675815
HARM	Armed Services (H)	Q04	Foreign & Defense Policy	Ideological/Single-Issue	114935
HARM	Armed Services (H)	Q05	Pro-Israel	Ideological/Single-Issue	1088012
HARM	Armed Services (H)	Q13	Gun Rights	Ideological/Single-Issue	485533
HARM	Armed Services (H)	Q09	Human Rights	Ideological/Single-Issue	635725
HARM	Armed Services (H)	Q14	Abortion Policy/Anti-Abortion	Ideological/Single-Issue	24940
HARM	Armed Services (H)	Q15	Abortion Policy/Pro-Abortion Rights	Ideological/Single-Issue	125735
HARM	Armed Services (H)	Q08	Women's Issues	Ideological/Single-Issue	1437479
HARM	Armed Services (H)	Q11	Environment	Ideological/Single-Issue	459114
HARM	Armed Services (H)	K01	Lawyers/Law Firms	Lawyers & Lobbyists	4967062
HARM	Armed Services (H)	K02	Lobbyists	Lawyers & Lobbyists	1662015
HARM	Armed Services (H)	P05	Misc Unions	Labor	410075
HARM	Armed Services (H)	P04	Public Sector Unions	Labor	1149630
HARM	Armed Services (H)	P01	Building Trade Unions	Labor	1343280
HARM	Armed Services (H)	P02	Industrial Unions	Labor	783267
HARM	Armed Services (H)	P03	Transportation Unions	Labor	1516878
HARM	Armed Services (H)	N15	Misc Manufacturing & Distributing	Misc Business	1072826
HARM	Armed Services (H)	N13	Chemical & Related Manufacturing	Misc Business	363877
HARM	Armed Services (H)	N14	Steel Production	Misc Business	123080
HARM	Armed Services (H)	M01	Air Transport	Transportation	1296466
HARM	Armed Services (H)	M02	Automotive	Transportation	1227550
HARM	Armed Services (H)	M03	Trucking	Transportation	411747
HARM	Armed Services (H)	M04	Railroads	Transportation	700939
HARM	Armed Services (H)	M05	Sea Transport	Transportation	630570
HARM	Armed Services (H)	N08	Lodging/Tourism	Misc Business	456504
HARM	Armed Services (H)	W06	Retired	Other	7687124
HARM	Armed Services (H)	W03	Civil Servants/Public Officials	Other	380522
HARM	Armed Services (H)	W02	Non-Profit Institutions	Other	376612
HARM	Armed Services (H)	W05	Clergy & Religious Organizations	Other	47201
HARM	Armed Services (H)	Q16	Candidate Committees	Ideological/Single-Issue	1047085
HARM	Armed Services (H)	Q12	Gun Control	Ideological/Single-Issue	0
HARM	Armed Services (H)	N16	Textiles	Misc Business	71135
HBUD	Budget (H)	A01	Crop Production & Basic Processing	Agribusiness	584994
HBUD	Budget (H)	A02	Tobacco	Agribusiness	124512
HBUD	Budget (H)	A04	Dairy	Agribusiness	91692
HBUD	Budget (H)	A05	Poultry & Eggs	Agribusiness	68200
HBUD	Budget (H)	A06	Livestock	Agribusiness	110925
HBUD	Budget (H)	A07	Agricultural Services/Products	Agribusiness	260445
HBUD	Budget (H)	A10	Forestry & Forest Products	Agribusiness	249313
HBUD	Budget (H)	C01	General Contractors	Construction	572243
HBUD	Budget (H)	C02	Home Builders	Construction	224166
HBUD	Budget (H)	C03	Special Trade Contractors	Construction	251909
HBUD	Budget (H)	C04	Construction Services	Construction	459493
HBUD	Budget (H)	C05	Building Materials & Equipment	Construction	499105
HBUD	Budget (H)	B01	Printing & Publishing	Communications/Electronics	309180
HBUD	Budget (H)	B02	TV/Movies/Music	Communications/Electronics	502187
HBUD	Budget (H)	B09	Telecom Services	Communications/Electronics	359600
HBUD	Budget (H)	B08	Telephone Utilities	Communications/Electronics	317785
HBUD	Budget (H)	B12	Electronics Mfg & Equip	Communications/Electronics	444432
HBUD	Budget (H)	B13	Internet	Communications/Electronics	184975
HBUD	Budget (H)	D03	Misc Defense	Defense	184509
HBUD	Budget (H)	D01	Defense Aerospace	Defense	507485
HBUD	Budget (H)	D02	Defense Electronics	Defense	303880
HBUD	Budget (H)	E01	Oil & Gas	Energy & Natural Resources	804855
HBUD	Budget (H)	E04	Mining	Energy & Natural Resources	101426
HBUD	Budget (H)	E08	Electric Utilities	Energy & Natural Resources	691377
HBUD	Budget (H)	E10	Waste Management	Energy & Natural Resources	25000
HBUD	Budget (H)	F13	Misc Finance	Finance, Insurance & Real Estate	866998
HBUD	Budget (H)	F03	Commercial Banks	Finance, Insurance & Real Estate	851268
HBUD	Budget (H)	F04	Savings & Loans	Finance, Insurance & Real Estate	18800
HBUD	Budget (H)	F05	Credit Unions	Finance, Insurance & Real Estate	201250
HBUD	Budget (H)	F06	Finance/Credit Companies	Finance, Insurance & Real Estate	264350
HBUD	Budget (H)	F07	Securities & Investment	Finance, Insurance & Real Estate	2298579
HBUD	Budget (H)	F09	Insurance	Finance, Insurance & Real Estate	1943722
HBUD	Budget (H)	F10	Real Estate	Finance, Insurance & Real Estate	2706429
HBUD	Budget (H)	F11	Accountants	Finance, Insurance & Real Estate	674829
HBUD	Budget (H)	N00	Business Associations	Misc Business	80790
HBUD	Budget (H)	A09	Food Processing & Sales	Agribusiness	338771
HBUD	Budget (H)	N01	Food & Beverage	Misc Business	448153
HBUD	Budget (H)	N02	Beer, Wine & Liquor	Misc Business	539963
HBUD	Budget (H)	N03	Retail Sales	Misc Business	580412
HBUD	Budget (H)	N04	Misc Services	Misc Business	197095
HBUD	Budget (H)	N05	Business Services	Misc Business	933830
HBUD	Budget (H)	N06	Recreation/Live Entertainment	Misc Business	97924
HBUD	Budget (H)	N07	Casinos/Gambling	Misc Business	668921
HBUD	Budget (H)	H01	Health Professionals	Health	2775838
HBUD	Budget (H)	H02	Hospitals/Nursing Homes	Health	843163
HBUD	Budget (H)	H03	Health Services/HMOs	Health	623281
HBUD	Budget (H)	H04	Pharmaceuticals/Health Products	Health	1067723
HBUD	Budget (H)	W04	Education	Other	991943
HBUD	Budget (H)	Q01	Republican/Conservative	Ideological/Single-Issue	1166338
HBUD	Budget (H)	Q02	Democratic/Liberal	Ideological/Single-Issue	240842
HBUD	Budget (H)	Q03	Leadership PACs	Ideological/Single-Issue	1470918
HBUD	Budget (H)	Q04	Foreign & Defense Policy	Ideological/Single-Issue	100850
HBUD	Budget (H)	Q05	Pro-Israel	Ideological/Single-Issue	682500
HBUD	Budget (H)	Q13	Gun Rights	Ideological/Single-Issue	199052
HBUD	Budget (H)	Q09	Human Rights	Ideological/Single-Issue	359863
HBUD	Budget (H)	Q14	Abortion Policy/Anti-Abortion	Ideological/Single-Issue	53104
HBUD	Budget (H)	Q15	Abortion Policy/Pro-Abortion Rights	Ideological/Single-Issue	119416
HBUD	Budget (H)	Q08	Women's Issues	Ideological/Single-Issue	30050
