committee_name	sect_ind	donations
Appropriations (H)	Misc Business - Beer, Wine & Liquor	831362
Appropriations (H)	Misc Business - Business Associations	175957
Appropriations (H)	Misc Business - Business Services	778390
Appropriations (H)	Misc Business - Casinos/Gambling	762750
Appropriations (H)	Misc Business - Chemical & Related Manufacturing	497505
Appropriations (H)	Misc Business - Food & Beverage	634792
Appropriations (H)	Misc Business - Lodging/Tourism	327494
Appropriations (H)	Misc Business - Misc Manufacturing & Distributing	1296500
Appropriations (H)	Misc Business - Misc Services	172040
Appropriations (H)	Misc Business - Recreation/Live Entertainment	147162
Appropriations (H)	Misc Business - Retail Sales	709466
Appropriations (H)	Misc Business - Steel Production	122620
Appropriations (H)	Misc Business - Textiles	82250
Appropriations (H)	Other - Civil Servants/Public Officials	242508
Appropriations (H)	Other - Clergy & Religious Organizations	24209
Appropriations (H)	Other - Education	555807
Appropriations (H)	Other - Non-Profit Institutions	266116
Appropriations (H)	Other - Retired	2772406
Appropriations (H)	Transportation - Air Transport	1036425
Appropriations (H)	Transportation - Automotive	836175
Appropriations (H)	Transportation - Railroads	656849
Appropriations (H)	Transportation - Sea Transport	171134
Appropriations (H)	Transportation - Trucking	431686
Appropriations (S)	Agribusiness - Agricultural Services/Products	659116
Appropriations (S)	Agribusiness - Crop Production & Basic Processing	980432
Appropriations (S)	Agribusiness - Dairy	131900
Appropriations (S)	Agribusiness - Food Processing & Sales	577921
Appropriations (S)	Agribusiness - Forestry & Forest Products	365198
Appropriations (S)	Agribusiness - Livestock	206330
Appropriations (S)	Agribusiness - Poultry & Eggs	105950
Appropriations (S)	Agribusiness - Tobacco	109505
Appropriations (S)	Communications/Electronics - Electronics Mfg & Equip	833260
Appropriations (S)	Communications/Electronics - Internet	472749
Appropriations (S)	Communications/Electronics - Printing & Publishing	253118
Appropriations (S)	Communications/Electronics - TV/Movies/Music	808476
Appropriations (S)	Communications/Electronics - Telecom Services	790085
Appropriations (S)	Communications/Electronics - Telephone Utilities	329888
Appropriations (S)	Construction - Building Materials & Equipment	390316
Appropriations (S)	Construction - Construction Services	566179
Appropriations (S)	Construction - General Contractors	662671
Appropriations (S)	Construction - Home Builders	199897
Appropriations (S)	Construction - Special Trade Contractors	189935
Appropriations (S)	Defense - Defense Aerospace	718744
Appropriations (S)	Defense - Defense Electronics	435786
Appropriations (S)	Defense - Misc Defense	319450
Appropriations (S)	Energy & Natural Resources - Electric Utilities	1172822
Appropriations (S)	Energy & Natural Resources - Mining	317789
Appropriations (S)	Energy & Natural Resources - Oil & Gas	2324812
Appropriations (S)	Energy & Natural Resources - Waste Management	27274
Appropriations (S)	Finance, Insurance & Real Estate - Accountants	608790
Appropriations (S)	Finance, Insurance & Real Estate - Commercial Banks	1583505
Appropriations (S)	Finance, Insurance & Real Estate - Credit Unions	140105
Appropriations (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	506982
Appropriations (S)	Finance, Insurance & Real Estate - Insurance	2001944
Appropriations (S)	Finance, Insurance & Real Estate - Misc Finance	1135583
Appropriations (S)	Finance, Insurance & Real Estate - Real Estate	2690436
Appropriations (S)	Finance, Insurance & Real Estate - Savings & Loans	24470
Appropriations (S)	Finance, Insurance & Real Estate - Securities & Investment	3981609
Appropriations (S)	Health - Health Professionals	2074784
Appropriations (S)	Health - Health Services/HMOs	570236
Appropriations (S)	Health - Hospitals/Nursing Homes	820867
Appropriations (S)	Health - Pharmaceuticals/Health Products	1541397
Appropriations (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	2000
Appropriations (S)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	119029
Appropriations (S)	Ideological/Single-Issue - Candidate Committees	77269
Appropriations (S)	Ideological/Single-Issue - Democratic/Liberal	347424
Appropriations (S)	Ideological/Single-Issue - Environment	308396
Appropriations (S)	Ideological/Single-Issue - Foreign & Defense Policy	147900
Appropriations (S)	Ideological/Single-Issue - Gun Control	0
Appropriations (S)	Ideological/Single-Issue - Gun Rights	195540
Appropriations (S)	Ideological/Single-Issue - Human Rights	295051
Appropriations (S)	Ideological/Single-Issue - Leadership PACs	3291535
Appropriations (S)	Ideological/Single-Issue - Pro-Israel	1236809
