committee	industry	donations
HRUL	N05	156086
HRUL	N06	61386
HRUL	N07	220500
HRUL	H01	1062578
HRUL	H02	182056
HRUL	H03	171550
HRUL	H04	369328
HRUL	W04	299502
HRUL	Q01	107010
HRUL	Q02	67771
HRUL	Q03	336782
HRUL	Q04	20000
HRUL	Q05	115293
HRUL	Q13	30000
HRUL	Q09	84187
HRUL	Q14	6140
HRUL	Q15	13438
HRUL	Q08	45114
HRUL	Q11	35135
HRUL	K01	691925
HRUL	K02	322916
HRUL	P05	67000
HRUL	P04	137000
HRUL	P01	142200
HRUL	P02	121050
HRUL	P03	181500
HRUL	N15	225688
HRUL	N13	67050
HRUL	N14	25150
HRUL	M01	194786
HRUL	M02	235150
HRUL	M03	43650
HRUL	M04	168850
HRUL	M05	7500
HRUL	N08	83400
HRUL	W06	550857
HRUL	W03	57905
HRUL	W02	78680
HRUL	W05	3750
HRUL	Q16	84330
HRUL	Q12	0
HRUL	N16	13500
HSCI	A01	613264
HSCI	A02	68229
HSCI	A04	133017
HSCI	A05	74705
HSCI	A06	177958
HSCI	A07	413164
HSCI	A10	245620
HSCI	C01	452500
HSCI	C02	216638
HSCI	C03	162884
HSCI	C04	501251
HSCI	C05	324268
HSCI	B01	162745
HSCI	B02	380593
HSCI	B09	413891
HSCI	B08	293654
HSCI	B12	905469
HSCI	B13	309444
HSCI	D03	285492
HSCI	D01	709055
HSCI	D02	414006
HSCI	E01	1034367
HSCI	E04	71570
HSCI	E08	630829
HSCI	E10	13773
HSCI	F13	481608
HSCI	F03	735093
HSCI	F04	17273
HSCI	F05	170752
HSCI	F06	236021
HSCI	F07	1493403
HSCI	F09	1250223
HSCI	F10	1810176
HSCI	F11	608779
HSCI	N00	78069
HSCI	A09	235433
HSCI	N01	290049
HSCI	N02	495718
HSCI	N03	426390
HSCI	N04	174722
HSCI	N05	588061
HSCI	N06	132189
HSCI	N07	152423
HSCI	H01	1744124
HSCI	H02	314816
HSCI	H03	291198
HSCI	H04	628627
HSCI	W04	554327
HSCI	Q01	411941
HSCI	Q02	1325748
HSCI	Q03	1781483
HSCI	Q04	48520
HSCI	Q05	365802
HSCI	Q13	140367
HSCI	Q09	400045
HSCI	Q14	23300
HSCI	Q15	59625
HSCI	Q08	626220
HSCI	Q11	162635
HSCI	K01	2079330
HSCI	K02	768443
HSCI	P05	157770
HSCI	P04	437563
HSCI	P01	406580
HSCI	P02	292165
HSCI	P03	550790
HSCI	N15	632728
HSCI	N13	301549
HSCI	N14	79261
HSCI	M01	685259
HSCI	M02	655093
HSCI	M03	113961
HSCI	M04	436440
HSCI	M05	109475
HSCI	N08	223585
HSCI	W06	2600084
HSCI	W03	240662
HSCI	W02	321753
HSCI	W05	23987
HSCI	Q16	481380
HSCI	Q12	6340
HSCI	N16	12041
HSMA	A01	402879
HSMA	A02	54480
HSMA	A04	50173
HSMA	A05	27000
HSMA	A06	160775
HSMA	A07	205991
HSMA	A10	73925
HSMA	C01	399697
HSMA	C02	124382
HSMA	C03	164233
HSMA	C04	192348
HSMA	C05	271595
HSMA	B01	28125
HSMA	B02	127250
HSMA	B09	248650
HSMA	B08	175200
HSMA	B12	217242
HSMA	B13	87650
HSMA	D03	47650
HSMA	D01	158175
HSMA	D02	98025
HSMA	E01	586546
HSMA	E04	60200
HSMA	E08	397024
HSMA	E10	14575
HSMA	F13	310245
HSMA	F03	612675
HSMA	F04	12350
HSMA	F05	73500
HSMA	F06	236950
HSMA	F07	859765
HSMA	F09	1052628
HSMA	F10	1129465
HSMA	F11	319872
HSMA	N00	123550
HSMA	A09	142400
HSMA	N01	283253
HSMA	N02	216022
HSMA	N03	247137
HSMA	N04	61660
HSMA	N05	214361
HSMA	N06	71300
HSMA	N07	168834
